model1|model2|total_samples|accuracy|is_self_recognition|timestamp
ChatGPT|Llama|1000|0.0|False|2025-04-09 08:51:45
Llama|Claude|1000|0.0|False|2025-04-09 10:57:01
ChatGPT|Gemini|1000|0.0|False|2025-04-09 08:52:06
Deepseek|Deepseek|944|0.06567796610169492|True|2025-04-09 11:49:52
ChatGPT|ChatGPT|1000|0.0|True|2025-04-09 08:51:56
Deepseek|ChatGPT|944|0.059322033898305086|False|2025-04-09 11:47:01
Llama|Llama|1000|0.0|True|2025-04-09 10:57:59
Grok|Deepseek|1000|0.0|False|2025-04-09 09:41:46
Claude|Grok|1000|0.0|False|2025-04-09 09:33:58
ChatGPT|Deepseek|1000|0.0|False|2025-04-09 08:52:01
Gemini|Grok|1000|0.0|False|2025-04-09 09:45:25
Grok|Llama|1000|0.0|False|2025-04-09 09:41:22
Claude|Llama|1000|0.0|False|2025-04-09 09:35:04
ChatGPT|Claude|1000|0.0|False|2025-04-09 08:52:30
Llama|Gemini|1000|0.0|False|2025-04-09 10:57:00
Gemini|Llama|1000|0.0|False|2025-04-09 09:45:52
Claude|ChatGPT|1000|0.0|False|2025-04-09 09:33:31
Deepseek|Grok|944|0.05190677966101695|False|2025-04-09 11:50:04
Grok|ChatGPT|1000|0.0|False|2025-04-09 09:40:25
Gemini|ChatGPT|1000|0.0|False|2025-04-09 09:44:44
Deepseek|Llama|944|0.048728813559322036|False|2025-04-09 11:49:15
Deepseek|Gemini|944|0.07627118644067797|False|2025-04-09 11:48:43
Grok|Grok|1000|0.0|True|2025-04-09 09:40:56
Gemini|Gemini|1000|0.0|True|2025-04-09 09:45:44
ChatGPT|Grok|1000|0.0|False|2025-04-09 08:52:07
Grok|Gemini|1000|0.0|False|2025-04-09 09:41:17
Claude|Gemini|1000|0.0|False|2025-04-09 09:33:30
Claude|Deepseek|1000|0.0|False|2025-04-09 09:34:06
Llama|Grok|1000|0.0|False|2025-04-09 10:57:25
Deepseek|Claude|944|0.05084745762711865|False|2025-04-09 11:49:18
Llama|ChatGPT|1000|0.0|False|2025-04-09 10:54:57
Gemini|Claude|1000|0.0|False|2025-04-09 09:44:56
Llama|Deepseek|1000|0.0|False|2025-04-09 10:58:39
Grok|Claude|1000|0.0|False|2025-04-09 09:40:20
Claude|Claude|1000|0.0|True|2025-04-09 09:34:25
Gemini|Deepseek|1000|0.0|False|2025-04-09 09:46:13
