model,iteration,num_prompts,avg_length,min_length,max_length,total_chars
ChatGPT,1,50,88.72,60,125,4436
ChatGPT,2,50,90.3,57,122,4515
ChatGPT,3,50,79.96,51,105,3998
ChatGPT,4,50,99.12,68,149,4956
ChatGPT,5,50,75.48,52,97,3774
ChatGPT,6,51,80.86,55,111,4124
ChatGPT,7,51,74.27,54,96,3788
ChatGPT,8,50,76.66,47,106,3833
ChatGPT,9,50,107.56,61,149,5378
ChatGPT,10,50,92.64,58,139,4632
ChatGPT,11,50,78.58,43,108,3929
ChatGPT,12,50,101.32,67,141,5066
ChatGPT,13,50,65.7,46,92,3285
ChatGPT,14,50,68.64,51,87,3432
ChatGPT,15,50,106.56,75,135,5328
ChatGPT,16,50,67.48,48,87,3374
ChatGPT,17,50,98.62,68,139,4931
ChatGPT,18,51,82.0,41,135,4182
ChatGPT,19,50,89.18,63,113,4459
ChatGPT,20,50,87.32,69,159,4366
Claude,1,50,83.06,55,112,4153
Claude,2,50,81.02,47,111,4051
Claude,3,50,70.12,31,102,3506
Claude,4,50,69.62,54,105,3481
Claude,5,50,62.26,35,86,3113
Claude,6,50,67.34,44,109,3367
Claude,7,50,77.66,46,143,3883
Claude,8,50,71.88,51,111,3594
Claude,9,50,88.86,63,103,4443
Claude,10,50,80.4,63,109,4020
Claude,11,50,74.5,52,115,3725
Claude,12,50,67.96,38,123,3398
Claude,13,50,78.8,49,108,3940
Claude,14,50,74.04,57,99,3702
Claude,15,50,68.3,42,95,3415
Claude,16,50,71.46,44,103,3573
Claude,17,50,86.02,56,129,4301
Claude,18,50,77.72,46,105,3886
Claude,19,50,72.14,53,88,3607
Claude,20,50,73.5,47,111,3675
Deepseek,1,50,76.1,46,102,3805
Deepseek,2,50,60.74,40,93,3037
Deepseek,3,51,68.37,29,95,3487
Deepseek,4,50,67.46,45,104,3373
Deepseek,5,50,70.48,43,116,3524
Deepseek,6,50,78.32,52,102,3916
Deepseek,7,50,70.98,41,96,3549
Deepseek,8,50,65.94,43,113,3297
Deepseek,9,50,72.32,39,96,3616
Deepseek,10,50,74.38,56,104,3719
Deepseek,11,50,74.7,56,94,3735
Deepseek,12,50,69.74,46,97,3487
Deepseek,13,50,70.18,39,94,3509
Deepseek,14,50,62.62,40,92,3131
Deepseek,15,50,82.08,50,105,4104
Deepseek,16,50,74.14,46,116,3707
Deepseek,17,50,83.38,57,110,4169
Deepseek,18,50,74.34,48,96,3717
Deepseek,19,50,77.5,49,102,3875
Deepseek,20,50,73.9,48,114,3695
Gemini,1,50,57.66,34,89,2883
Gemini,2,50,64.04,35,91,3202
Gemini,3,50,62.94,40,94,3147
Gemini,4,50,65.14,29,102,3257
Gemini,5,50,76.46,36,124,3823
Gemini,6,50,64.96,32,91,3248
Gemini,7,50,61.0,32,89,3050
Gemini,8,51,65.84,29,121,3358
Gemini,9,50,66.12,29,107,3306
Gemini,10,50,64.1,29,110,3205
Gemini,11,50,59.26,26,91,2963
Gemini,12,50,67.54,46,101,3377
Gemini,13,50,70.12,32,124,3506
Gemini,14,50,83.94,51,134,4197
Gemini,15,50,71.26,44,113,3563
Gemini,16,50,75.04,55,100,3752
Gemini,17,50,66.86,44,100,3343
Gemini,18,50,53.38,29,81,2669
Gemini,19,50,52.6,24,77,2630
Gemini,20,50,59.36,40,93,2968
Grok,1,50,70.62,54,99,3531
Grok,2,51,97.0,69,119,4947
Grok,3,50,69.24,48,89,3462
Grok,4,50,72.4,52,90,3620
Grok,5,51,67.31,52,87,3433
Grok,6,51,73.1,54,92,3728
Grok,7,51,58.9,46,79,3004
Grok,8,50,78.38,61,103,3919
Grok,9,50,90.08,71,110,4504
Grok,10,50,69.72,54,89,3486
Grok,11,50,85.48,65,103,4274
Grok,12,50,86.5,70,100,4325
Grok,13,51,80.73,59,98,4117
Grok,14,50,78.16,50,97,3908
Grok,15,50,79.0,64,95,3950
Grok,16,51,79.22,61,99,4040
Grok,17,50,66.56,52,90,3328
Grok,18,51,64.43,48,90,3286
Grok,19,51,96.8,80,132,4937
Grok,20,51,75.71,58,89,3861
Llama,1,48,94.38,65,129,4530
Llama,2,50,107.1,49,169,5355
Llama,3,52,86.46,49,128,4496
Llama,4,49,85.71,62,130,4200
Llama,5,49,92.92,65,151,4553
Llama,6,51,88.41,49,112,4509
Llama,7,48,108.42,65,185,5204
Llama,8,46,109.04,83,139,5016
Llama,9,35,149.2,108,199,5222
Llama,10,50,112.04,62,178,5602
Llama,11,51,84.69,59,118,4319
Llama,12,50,136.22,92,183,6811
Llama,13,50,104.86,55,155,5243
Llama,14,49,84.43,46,117,4137
Llama,15,48,104.46,70,147,5014
Llama,16,43,105.33,73,161,4529
Llama,17,46,94.15,65,135,4331
Llama,18,47,93.38,65,135,4389
Llama,19,51,125.59,58,168,6405
Llama,20,51,89.53,62,131,4566
